CODIGO,TIPO,CONCEPTO,tipo_catalogo
1,,ACTIVO,5
11,,DISPONIBLE,5
1101,,CAJA,5
110101,,Oficina principal,5
1101011,,Oficina principal - Moneda Nacional,5
1101012,,Oficina principal - Moneda Extranjera,5
110102,,Sucursales,5
1101021,,Sucursales - Moneda Nacional,5
1101022,,Sucursales - Moneda Extranjera,5
110103,,Agencias,5
1101031,,Agencias - Moneda Nacional,5
1101032,,Agencias - Moneda Extranjera,5
110104,,Fondos fijos,5
1101041,,Fondos Fijos - Moneda Nacional,5
1101042,,Fondos Fijos - Moneda Extranjera,5
1102,,EFECTOS DE COBRO INMEDIATO,5
110201,,Cheques locales,5
1102011,,Cheques Locales - Moneda Nacional,5
1102012,,Cheques Locales - Moneda Extranjera,5
110202,,Cheques sobre el exterior,5
1102021,,Cheques sobre el exterior - Moneda Nacional,5
1102022,,Cheques sobre el exterior - Moneda Extranjera,5
110209,,Otros efectos de cobro inmediato,5
1102091,,Otros efectos de cobro inmediato - Moneda Nacional,5
1102092,,Otros efectos de cobro inmediato - Moneda Extranjera,5
1103,,BANCOS LOCALES,5
110301,,Cuenta corriente,5
1103011,,Cuenta corriente - Moneda Nacional,5
1103012,,Cuenta Corriente - Moneda Extranjera,5
110302,,Cuenta de ahorro,5
1103021,,Cuenta de ahorro - Moneda Nacional,5
1103022,,Cuenta de ahorro - Moneda Extranjera,5
1104,,BANCOS EXTRANJEROS,5
110401,,Cuenta corriente,5
1104012,,Moneda Extranjera,5
110402,,Cuentas de Ahorro,5
1104022,,Moneda Extranjera,5
12,,INVERSIONES FINANCIERAS,5
1201,,VALORES,5
120101,,Emitidos por el Estado a través de la Dirección General de Tesorería,5
1201011,,Emitidos por el Estado a través de la Dirección General de Tesorería Moneda Nacional,5
1201012,,Emitidos por el Estado a través de la Dirección General de Tesorería Moneda Extranjera,5
120102,,Emitidos por el Banco Central de Reserva,5
1201021,,Emitidos por el Banco Central de Reserva - Moneda Nacional,5
1201022,,Emitidos por el Banco Central de Reserva - Moneda Extranjera,5
120103,,Emitidos o garantizados por empresas estatales e instituciones oficiales autónomas,5
1201031,,Emitidos o garantizados por empresas estatales e instituciones oficiales autónomas - Moneda Nacional,5
1201032,,Emitidos o garantizados por empresas estatales e instituciones oficiales autónomas - Moneda Extranjera,5
120104,,Emitidos por el Banco Multisectorial de Inversiones,5
1201041,,Emitidos por el Banco Multisectorial de Inversiones - Moneda Nacional,5
1201042,,Emitidos por el Banco Multisectorial de Inversiones - Moneda Extranjera,5
120105,,Emitidos con garantía real para financiar la adquisición de vivienda,5
1201051,,Emitidos con garantía real para financiar la adquisición de vivienda - Moneda Nacional,5
1201052,,Emitidos con garantía real para financiar la adquisición de vivienda - Moneda Extranjera,5
1202,,INSTRUMENTOS EMITIDOS O GARANTIZADOS POR ENTIDADES EXTRANJERAS,5
120201,,Valores emitidos o garantizados por estados y bancos centrales,5
1202011,,Valores emitidos o garantizados por estados y bancos centrales Moneda Nacional,5
1202012,,Valores emitidos o garantizados por estados y bancos centrales Moneda Extranjera,5
120202,,Cuotas de fondos de inversión,5
1202021,,Cuotas de fondos de inversión - Moneda Nacional,5
1202022,,Cuotas de fondos de inversión - Moneda Extranjera,5
120203,,Depósitos y valores de bancos de primer orden,5
1202031,,Depósitos y valores de bancos de primer orden - Moneda Nacional,5
1202032,,Depósitos y valores de bancos de primer orden - Moneda Extranjera,5
120204,,Valores representativos de deuda emitidos o garantizados por financieras,5
1202041,,Valores representativos de deuda emitidos o garantizados por financieras - Moneda Nacional,5
1202042,,Valores representativos de deuda emitidos o garantizados por financieras - Moneda Extranjera,5
120205,,Valores representativos de deuda emitidos o garantizados por sociedades,5
1202051,,Valores representativos de deuda emitidos o garantizados por sociedades - Moneda Nacional,5
1202052,,Valores representativos de deuda emitidos o garantizados por sociedades - Moneda Extranjera,5
120206,,Acciones de sociedades,5
1202061,,Acciones de sociedades - Moneda Nacional,5
1202062,,Acciones de sociedades - Moneda Extranjera,5
1203,,DIVERSOS INSTRUMENTOS FINANCIEROS,5
120301,,Obligaciones negociables emitidas por sociedades salvadoreñas a más de un año,5
1203011,,Obligaciones negociables emitidas por sociedades salvadoreñas a a más de un año - Moneda Nacional,5
1203012,,Obligaciones negociables emitidas por sociedades salvadoreñas a a más de un año - Moneda Extranjera,5
1203021,,Acciones de sociedades salvadoreñas - Moneda Nacional,5
1203022,,Acciones de sociedades salvadoreñas - Moneda Extranjera,5
120303,,Certificados de participación en fondos de inversión salvadoreños,5
1203031,,Certificados de participación en fondos de inversión salvadoreños Moneda Nacional,5
1203032,,Certificados de participación en fondos de inversión salvadoreños Moneda Extranjera,5
120304,,Depósitos y valores emitidos o garantizados por bancos salvadoreños,5
1203041,,Depósitos y valores emitidos o garantizados por bancos salvadoreños Moneda Nacional,5
1203042,,Depósitos y valores emitidos o garantizados por bancos salvadoreños Moneda Extranjera,5
1204,,INVERSIONES EN MONEDA EXTRANJERA,5
120401,,Valores de renta fija,5
1204012,,Valores de renta fija - Moneda Extranjera,5
120402,,Acciones de sociedades,5
1204022,,Acciones de sociedades - Moneda Extranjera,5
120403,,Depósitos bancarios,5
1204032,,Depósitos bancarios - Moneda Extranjera,5
120404,,Certificados de participación,5
1204042,,Certificados de participación - Moneda Extranjera,5
1205,,INVERSIONES TRANSFERIDAS,5
120501,,Valores,5
1205011,,Valores - Moneda Nacional,5
1205012,,Valores - Moneda Extranjera,5
120502,,Instrumentos emitidos o garantizados por entidades extranjeras,5
1205021,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Nacional,5
1205022,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Extranjera,5
120503,,Diversos instrumentos financieros,5
1205031,,Diversos instrumentos financieros - Moneda Nacional,5
1205032,,Diversos instrumentos financieros - Moneda Extranjera,5
120504,,Inversiones en moneda extranjera,5
1205041,,Inversiones en moneda extranjera - Moneda Nacional,5
1205042,,Inversiones en moneda extranjera - Moneda Extranjera,5
1298,,RENDIMIENTOS POR INVERSIONES,5
129801,,Valores,5
1298011,,Valores - Moneda Nacional,5
1298012,,Valores - Moneda Extranjera,5
129802,,Instrumentos emitidos o garantizados por entidades extranjeras,5
1298021,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Nacional,5
1298022,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Extranjera,5
129803,,Diversos instrumentos financieros,5
1298031,,Diversos instrumentos financieros - Moneda Nacional,5
1298032,,Diversos instrumentos financieros - Moneda Extranjera,5
129804,,Inversiones por pólizas en moneda extranjera,5
1298042,,Moneda Extranjera,5
1299,,PROVISIONES POR DESVALORIZACION DE INVERSIONES (Cr),5
129901,,Valores,5
1299011,,Valores - Moneda Nacional,5
1299012,,Valores - Moneda Extranjera,5
129902,,Instrumentos emitidos o garantizados por entidades extranjeras,5
1299021,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Nacional,5
1299022,,Instrumentos emitidos o garantizados por entidades extranjeras Moneda Extranjera,5
129903,,Diversos instrumentos financieros,5
1299031,,Diversos instrumentos financieros - Moneda Nacional,5
1299032,,Diversos instrumentos financieros - Moneda Extranjera,5
129904,,Inversiones por pólizas en moneda extranjera,5
1299042,,Inversiones por pólizas en moneda extranjera - Moneda Extranjera,5
13,,PRESTAMOS,5
1301,,HASTA UN AÑO PLAZO,5
130101,,A entidades del Estado (Ver Anexo No.1),5
1301011,,A entidades del Estado - Moneda Nacional,5
130101101,,Otorgamientos originales,5
130101102,,Refinanciados (2),5
130101103,,Reestructurados (2),5
1301012,,A entidades del Estado - Moneda Extranjera,5
130102,,A empresas privadas (Ver Anexo No.1),5
1301021,,A empresas privadas - Moneda Nacional,5
1301022,,A empresas privadas - Moneda Extranjera,5
130103,,A Particulares (Ver Anexo No.1),5
1301031,,A Particulares - Moneda Nacional,5
1301032,,A Particulares - Moneda Extranjera,5
130104,,Otras entidades del sistema financiero (Ver Anexo No. 1),5
1301041,,Otras entidades del sistema financiero - Moneda Nacional,5
1301042,,Otras entidades del sistema financiero - Moneda Extranjera,5
130105,,A filiales,5
