Codigo,Tipo,Cuenta,tipo_catalogo
1,,ACTIVO,1
11,,CORRIENTE,1
1101,,EFECTIVO Y EQUIVALENTES DE EFECTIVO,1
110101,,CAJA GENERAL,1
110102,,CAJA CHICA,1
110103,,BANCOS,1
11010301,,CUENTA CORRIENTE,1
11010302,,CUENTA DE AHORRO,1
11010303,,DEPOSITOS A PLAZO,1
1102,,INVERSIONES FINANCIERAS A CORTO PLAZO,1
110201,,DEPOSITOS A PLAZO DE 91 a 365 DIAS,1
110202,,ACCIONES COMUNES,1
110203,,ACCIONES PREFERENTES,1
110204,,BONOS,1
110205,,CERTIFICADOS DE INVERSIÓN,1
110206,,LETES,1
110207,,OTROS TITULOS VALORES,1
110208,,INSTRUMENTOS FINANCIEROS A CORTO PLAZO,1
1103,-,ESTIMACIÓN POR DETERIORO DE INVERSIONES FINANCIERAS A CORTO PLAZO,1
1104,,CUENTAS POR COBRAR,1
1105,-,ESTIMACIÓN PARA CUENTAS INCOBRABLES,1
1106,-,CUENTA REGULATORIA DE CUENTAS POR COBRAR POR INTERÉS IMPLÍCITO,1
1107,,DOCUMENTOS POR COBRAR,1
1108,,LLAMAMIENTOS DE CAPITAL,1
1109,,PRÉSTAMOS A EMPLEADOS Y ACCIONISTAS.,1
110901,,ACCIONISTAS,1
110902,,A EMPLEADOS,1
1110,,OTRAS CUENTAS POR COBRAR,1
111001,,INTERESES POR COBRAR,1
111002,,DOCUMENTOS POR COBRAR DESCONTADO VENCIDO,1
111003,,DOCUMENTOS POR COBRAR ENDOSADO VENCIDO,1
1111,,INVENTARIOS,1
1112,,ESTIMACION POR DETERIORO DE VALOR EN LOS INVENTARIOS,1
1113,,GASTOS PAGADOS POR ADELANTADO,1
111301,,SEGUROS,1
111302,,ALQUILERES,1
111303,,PAPELERÍA Y ÚTILES,1
111304,,PAGO A CUENTA,1
111305,,OTROS GASTOS PAGADOS POR ADELANTADO,1
1114,,IVA CRÉDITO FISCAL,1
1115,,IVA PAGADO POR ANTICIPADO,1
111501,,IVA PERCIBIDO,1
111502,,IVA RETENIDO,1
12,,ACTIVOS NO CORRIENTES,1
1201,,"PROPIEDAD, PLANTA Y EQUIPO",1
120101,,TERRENO,1
120102,,EDIFICIO,1
120103,,INSTALACIONES,1
120104,,EQUIPO DE REPARTO,1
120105,,MOBILIARIO Y EQUIPO,1
1202,-,DEPRECIACIÓN ACUMULADA,1
120201,-,EDIFICIO,1
120202,-,INSTALACIONES,1
120203,-,EQUIPO DE REPARTO,1
120204,-,MOBILIARIO Y EQUIPO,1
1203,-,DEPRECIACIÓN ACUMULADA DE REVALUACIÒN,1
120301,-,EDIFICIO,1
120302,-,INSTALACIONES,1
120303,-,EQUIPO DE REPARTO,1
120304,-,MOBILIARIO Y EQUIPO,1
1204,-,"DETERIORO DE VALORDE PROPIEDAD, PLANTA Y EQUIPO",1
120401,-,TERRENO,1
120402,-,EDIFICIO,1
120403,-,INSTALACIONES,1
120404,-,EQUIPO DE REPARTO,1
120405,-,MOBILIARIO Y EQUIPO,1
1205,,INTANGIBLES,1
120501,,CRÉDITO MERCANTIL,1
120502,,PATENTES Y MARCAS,1
120503,,LICENCIAS,1
1206,-,AMORTIZACIÒN DE INTANGIBLES,1
120601,-,CRÉDITO MERCANTIL,1
120602,-,PATENTES Y MARCAS,1
120603,-,LICENCIAS,1
1207,-,DETERIORO DE VALOR DE INTANGIBLES,1
120701,-,CRÉDITO MERCANTIL,1
120702,-,PATENTES Y MARCAS,1
120703,-,LICENCIAS,1
1208,,ACTIVO POR IMPUESTO SOBRE LA RENTA DIFERIDO,1
2,,PASIVO,1
21,,CORRIENTE,1
2101,,SOBREGIROS BANCARIOS,1
2102,,CUENTAS POR PAGAR COMERCIALES,1
210201,,LOCALES,1
210202,,DEL EXTERIOR,1
2103,,DOCUMENTOS POR COBRAR DESCONTADOS,1
210301,,PAGARÉS,1
210302,,LETRAS DE CAMBIO,1
210303,,BONOS,1
210304,,OTROS TÌTULOS VALORES,1
2104,,DOCUMENTOS POR PAGAR,1
210401,,PAGARÉS,1
210402,,LETRAS DE CAMBIO,1
210403,,BONOS,1
210404,,OTROS TÌTULOS VALORES,1
2105,,PRÉSTAMOS POR PAGAR,1
210501,,BANCARIOS,1
210502,,ACCIONISTAS,1
210503,,OTROS,1
2106,,RETENCIONES POR PAGAR,1
210601,,ISSS,1
210602,,AFP,1
210603,,RENTA,1
210604,,IVA,1
210605,,OTRAS RETENCIONES,1
2107,,OBLIGACIONES POR BENEFICIOS A EMPLEADOS A CORTO PLAZO,1
210701,,ISSS,1
210702,,AFP,1
210703,,INSAFORP,1
210704,,VACACIONES,1
210705,,AGUINALDO,1
2108,,INTERESES PERCIBIDOS Y NO DEVENGADOS,1
2109,,DIVIDENDOS POR PAGAR,1
2110,,IVA DÉBITO FISCAL,1
2111,,IVA PERCIBIDO Y RETENIDO POR PAGAR,1
211101,,IVA PERCIBIDO,1
211102,,IVA RETENIDO,1
2112,,IMPUESTOS POR PAGAR,1
211201,,PAGO A CUENTA,1
211202,,RENTA,1
211203,,IVA,1
211204,,OTROS,1
2113,,CUENTAS POR PAGAR,1
2114,,INTERESES POR PAGAR,1
22,,NO CORRIENTE,1
2201,,PRÉSTAMOS POR PAGAR,1
2202,,DOCUMENTOS POR PAGAR,1
2203,,INGRESOS DIFERIDOS,1
2204,,PROVISIÓN PARA OBLIGACIONES LABORALES,1
2205,,PASIVO POR IMPUESTO SOBRE LA RENTA DIFERIDO,1
3,,PATRIMONIO,1
31,,CAPITAL CONTABLE,1
3101,,CAPITAL SOCIAL,1
3102,-,CAPITAL SUSCRITO NO PAGADO,1
3103,,SUPERÁVIT POR REVALUACIÒN,1
3104,,RESERVA LEGAL,1
3105,,RESERVAS VOLUNTARIAS,1
3106,,UTILIDADES ACUMULADAS,1
310601,,UTILIDAD DEL EJERCICIO DEL EJERCICIO,1
310602,,SUPERÁVIT REALIZADO NO DISTRIBUIBLE,1
310603,,GANANCIAS DE EJERCICIOS ANTERIORES,1
3107,-,DÉFICIT,1
310701,-,DÉFICIT ACUMULADO,1
310702,-,DÉFICIT DEL PRESENTE EJERCICIO,1
4,,CUENTAS DE RESULTADO DEUDORAS,1
41,,COSTOS,1
4101,,COMPRAS,1
4102,,GASTOS SOBRE COMPRAS,1
4103,-,DEVOLUCIONES Y REBAJAS SOBRE VENTAS,1
42,,GASTOS,1
4201,,GASTOS DE ADMINISTRACIÓN,1
420101,,SUELDOS Y SALARIOS,1
420102,,COMISIONES,1
420103,,VACACIONES,1
420104,,BONIFICACIONES,1
420105,,AGUINALDOS,1
420106,,HORAS EXTRAS,1
420107,,VIÁTICOS,1
420108,,ATENCIONES AL PERSONAL,1
420109,,ISSS,1
420110,,AFP,1
420111,,INSAFORP,1
420112,,HONORARIOS,1
420113,,SEGUROS,1
420114,,TRANSPORTES,1
420115,,AGUA,1
420116,,COMUNICACIONES,1
420117,,ENERGÍA ELÉCTRICA,1
420118,,PAPERLERÌA Y ÚTILES,1
420119,,DEPRECIACIÓN,1
420120,,MANTENIMIENTO Y REPARACIÒN DE MOBILIARIO Y EQUIPO,1
420121,,MANTENIMIENTO Y REPARACIÒN DE EDIFICIOS,1
210122,,MANTENIMIENTO Y REPARACIÒN DE EQUIPO DE REPARTO,1
420123,,REPARACIÓN DE MOBILIARIO Y EQUIPO,1
420124,,REPARACIÓN DE EDIFICIO,1
420125,,REPARACION DE EQUIPO DE REPARTO,1
420126,,PUBLICIDAD,1
420127,,EMPAQUES,1
420128,,ATENCIONES A CLIENTES,1
420129,,MULTAS,1
420130,,COMBUSTIBLES Y LUBRICANTES,1
420131,,IMPUESTOS MUNICIPALES,1
420132,,INSCRIPCIONES,1
420133,,LIMPIEZA,1
420134,,ALQUILERES,1
420135,,MATRÌCULAS DE COMERCIO,1
420136,,DONACIONES Y CONTRIBUCIONES,1
420137,,VIGILANCIA,1
420138,,UNIFORMES,1
420139,,AMORTIZACIONES,1
420140,,ORNATO,1
420141,,FOVIAL,1
420142,,COTRANS,1
420143,,CESC,1
420144,,COMPENSACIÓN POR RENUNCIA VOLUNTARIA,1
420145,,COMPENSACIÓN POR RENUNCIA VOLUNTARIA NO PROVISIONADA,1
420146,,INDEMNIZACIÓN NO PROVISIONADA,1
420147,,OTROS,1
4202,,GASTOS DE VENTAS,1
420201,,SUELDOS Y SALARIOS,1
420202,,COMISIONES,1
420203,,VACACIONES,1
420204,,BONIFICACIONES,1
420205,,AGUINALDOS,1
420206,,HORAS EXTRAS,1
420207,,VIÁTICOS,1
420208,,ATENCIONES AL PERSONAL,1
420209,,ISSS,1
420210,,AFP,1
420211,,INSAFORP,1
420212,,HONORARIOS,1
420213,,SEGUROS,1
420214,,TRANSPORTES,1
420215,,AGUA,1
420216,,COMUNICACIONES,1
420217,,ENERGÍA ELÉCTRICA,1
420218,,PAPERLERÌA Y ÚTILES,1
420219,,DEPRECIACIÓN,1
420220,,MANTENIMIENTO Y REPARACIÒN DE MOBILIARIO Y EQUIPO,1
420221,,MANTENIMIENTO Y REPARACIÒN DE EDIFICIOS,1
210222,,MANTENIMIENTO Y REPARACIÒN DE EQUIPO DE REPARTO,1
420223,,REPARACIÓN DE MOBILIARIO Y EQUIPO,1
420224,,REPARACIÓN DE EDIFICIO,1
420225,,REPARACION DE EQUIPO DE REPARTO,1
420226,,PUBLICIDAD,1
420227,,EMPAQUES,1
420228,,ATENCIONES A CLIENTES,1
420229,,MULTAS,1
420230,,COMBUSTIBLES Y LUBRICANTES,1
420231,,IMPUESTOS MUNICIPALES,1
420232,,INSCRIPCIONES,1
420233,,LIMPIEZA,1
420234,,ALQUILERES,1
420235,,MATRÌCULAS DE COMERCIO,1
420236,,DONACIONES Y CONTRIBUCIONES,1
420237,,VIGILANCIA,1
420238,,UNIFORMES,1
420239,,AMORTIZACIONES,1
420240,,ORNATO,1
420241,,FOVIAL,1
420242,,COTRANS,1
420243,,CESC,1
420244,,COMPENSACIÓN POR RENUNCIA VOLUNTARIA,1
420245,,COMPENSACIÓN POR RENUNCIA VOLUNTARIA NO PROVISIONADA,1
420246,,INDEMNIZACIÓN NO PROVISIONADA,1
420247,,OTROS,1
4203,,COSTOS FINANCIEROS,1
420301,,INTERESES,1
420302,,COMISIONES BANCARIAS,1
420303,,OTROS,1
4204,,GASTOS POR IMPUESTO SOBRE RENTA CORRIENTE,1
4205,,GASTOS POR IMPUESTO SOBRE LA RENTA DEFINITIVO,1
4206,,GASTOS POR IMPUESTO SOBRE LA RENTA DIFERIDO,1
43,,PÉRDIDAS,1
4301,,PÉRDIDAS EN VENTA DE ACTIVOS DE EXPLOTACIÓN,1
4302,,PÉRDIDA EN VENTA DE INSTRUMENTOS FINANCIEROS,1
4303,,PÉRDIDA EN VENTAS DE INTANGIBLES,1
4304,,PÉRDIDA POR DETERIORO DE INVENTARIOS,1
4305,,"PÉRDIDA POR DETERIORO EN PROPIEDAD, PLANTA Y EQUIPO",1
4306,,PÉRDIDA POR DETERIORO DE INTANGIBLES,1
4307,,PÉRDIDA POR DETERIORO DE INSTRUMENTOS FINANCIEROS,1
4308,,PÉRDIDAS POR CASOS FORTUITOS EN ACTIVOS,1
4309,,"PÉRDIDA POR DESVALORIZACIÓN DE PROPIEDAD, PLANTA Y EQUIPO",1
5,,CUENTAS DE RESULTADO ACREEDORAS,1
51,,INGRESOS DE OPERACIÒN,1
5101,,VENTAS,1
5102,-,DEVOUCIONES Y REBAJAS SOBRE COMPRAS,1
5103,,INGRESOS POR IMPUESTO SOBRE LA RENTA DIFERIDO,1
5104,,INGRESO REVERSIÓN DE PÉRDIDAS POR DETERIORO DE INVENTARIOS,1
5105,,"INGRESO REVERSIÒN DE PÉRDIDA POR DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO",1
5106,,INGRESO POR REVERSIÓN POR PÉRDIDA POR DETERIORO DE ACTIVOS INTANGIBLES.,1
