Codigo,Tipo,Cuenta,tipo_catalogo
1,,ACTIVO,2
11,,CORRIENTE,2
1101,,EFECTIVO Y EQUIVALENTES DE EFECTIVO,2
110101,,CAJA GENERAL,2
110102,,CAJA CHICA,2
110103,,BANCOS,2
11010301,,CUENTA CORRIENTE,2
11010302,,CUENTA DE AHORRO,2
11010303,,DEPOSITOS A PLAZO,2
1102,,INVERSIONES FINANCIERAS A CORTO PLAZO,2
110201,,DEPOSITOS A PLAZO DE 91 a 365 DIAS,2
110202,,ACCIONES COMUNES,2
110203,,ACCIONES PREFERENTES,2
110204,,BONOS,2
110205,,CERTIFICADOS DE INVERSIÓN,2
110206,,LETES,2
110207,,OTROS TITULOS VALORES,2
1103,-,ESTIMACIÓN POR DETERIORO DE INVERSIONES FINANCIERAS A CORTO PLAZO,2
1104,,CUENTAS POR COBRAR,2
1105,-,ESTIMACIÓN PARA CUENTAS INCOBRABLES,2
1106,-,CUENTA REGULATORIA DE CUENTAS POR COBRAR POR INTERÉS IMPLÍCITO,2
1107,,DOCUMENTOS POR COBRAR,2
1108,,LLAMAMIENTOS DE CAPITAL,2
1109,,PRÉSTAMOS A EMPLEADOS Y ACCIONISTAS.,2
110901,,ACCIONISTAS,2
110902,,A EMPLEADOS,2
1110,,OTRAS CUENTAS POR COBRAR,2
111001,,INTERESES POR COBRAR,2
111002,,DOCUMENTOS POR COBRAR DESCONTADO VENCIDO,2
111003,,DOCUMENTOS POR COBRAR ENDOSADO VENCIDO,2
1111,,INVENTARIOS,2
1112,,ESTIMACION POR DETERIORO DE VALOR EN LOS INVENTARIOS,2
1113,,GASTOS PAGADOS POR ADELANTADO,2
111301,,SEGUROS,2
111302,,ALQUILERES,2
111303,,PAPELERÍA Y ÚTILES,2
111304,,PAGO A CUENTA,2
111305,,OTROS GASTOS PAGADOS POR ADELANTADO,2
1114,,IVA CRÉDITO FISCAL,2
1115,,IVA PAGADO POR ANTICIPADO,2
111501,,IVA PERCIBIDO,2
111502,,IVA RETENIDO,2
12,,ACTIVOS NO CORRIENTES,2
1201,,"PROPIEDAD, PLANTA Y EQUIPO",2
120101,,TERRENO,2
120102,,EDIFICIO,2
120103,,INSTALACIONES,2
120104,,EQUIPO DE REPARTO,2
120105,,MOBILIARIO Y EQUIPO,2
1202,-,DEPRECIACIÓN ACUMULADA,2
120201,-,EDIFICIO,2
120202,-,INSTALACIONES,2
120203,-,EQUIPO DE REPARTO,2
120204,-,MOBILIARIO Y EQUIPO,2
1203,-,DEPRECIACIÓN ACUMULADA DE REVALUACIÒN,2
120301,-,EDIFICIO,2
120302,-,INSTALACIONES,2
120303,-,EQUIPO DE REPARTO,2
120304,-,MOBILIARIO Y EQUIPO,2
1204,-,"DETERIORO DE VALOR DE PROPIEDAD, PLANTA Y EQUIPO",2
120401,-,TERRENO,2
120402,-,EDIFICIO,2
120403,-,INSTALACIONES,2
120404,-,EQUIPO DE REPARTO,2
120405,-,MOBILIARIO Y EQUIPO,2
1205,,INTANGIBLES,2
120501,,CRÉDITO MERCANTIL,2
120502,,PATENTES Y MARCAS,2
120503,,LICENCIAS,2
1206,-,AMORTIZACIÒN DE INTANGIBLES,2
120601,-,CRÉDITO MERCANTIL,2
120602,-,PATENTES Y MARCAS,2
120603,-,LICENCIAS,2
1207,-,DETERIORO DE VALOR DE INTANGIBLES,2
120701,-,CRÉDITO MERCANTIL,2
120702,-,PATENTES Y MARCAS,2
120703,-,LICENCIAS,2
1208,,ACTIVO POR IMPUESTO SOBRE LA RENTA DIFERIDO,2
2,,PASIVO,2
21,,CORRIENTE,2
2101,,SOBREGIROS BANCARIOS,2
2102,,CUENTAS POR PAGAR COMERCIALES,2
210201,,LOCALES,2
210202,,DEL EXTERIOR,2
2103,,DOCUMENTOS POR COBRAR DESCONTADOS,2
210301,,PAGARÉS,2
210302,,LETRAS DE CAMBIO,2
210303,,BONOS,2
210304,,OTROS TÌTULOS VALORES,2
2104,,DOCUMENTOS POR PAGAR,2
210401,,PAGARÉS,2
210402,,LETRAS DE CAMBIO,2
210403,,BONOS,2
210404,,OTROS TÌTULOS VALORES,2
2105,,PRÉSTAMOS POR PAGAR,2
210501,,BANCARIOS,2
210502,,ACCIONISTAS,2
210503,,OTROS,2
2106,,RETENCIONES POR PAGAR,2
210601,,ISSS,2
210602,,AFP,2
210603,,RENTA,2
210604,,IVA,2
210605,,OTRAS RETENCIONES,2
2107,,OBLIGACIONES POR BENEFICIOS A EMPLEADOS A CORTO PLAZO,2
210701,,ISSS,2
210702,,AFP,2
210703,,INSAFORP,2
210704,,VACACIONES,2
210705,,AGUINALDO,2
