Codigo,Tipo,Cuenta,tipo_catalogo
1112,,Inventario,8
111201,,Plantia y arboles de sombra,8
111202,,Productos Agricolas-Cafe,8
11120201,,Cafe Uva,8
1112020101,,Bajio,8
1112020102,,Media Altura,8
1112020103,,Estricta Altura,8
11120202,,Cafe Verde,8
1112020201,,Bajio,8
1112020202,,Media Altura,8
1112020203,,Estricta Altura,8
11120203,,Otros,8
111203,,Insumos y Materiales,8
11120301,,Semilla de Cafe,8
11120302,,Fertilizantes,8
11120303,,Insecticidas,8
11120304,,Fungicidas,8
11120305,,Herbicidas,8
11120306,,Plaguicidas,8
11120307,,Nameticidas,8
11120308,,Otros,8
1113,,Costos de cafe cosecha futura,8
111301,,Mantenimiento,8
11130101,,Insumos y Materiales,8
1113010101,,Fertilizantes Quimicos,8
1113010102,,Fertilizantes Organicos,8
1113010103,,Fungicidas,8
1113010104,,Herbicidas,8
1113010105,,Plaguicidas,8
1113010106,,Nameticidas,8
1113010107,,Insecticidas,8
1113010108,,Otros,8
11130102,,Mano de obra directa,8
1113010201,,Fertilizacion de cafe,8
1113010202,,Fertilizacion de arboles de sombra,8
1113010203,,Fertilizacion de cortinas rompevientos,8
1113010204,,Poda de cafe,8
1113010205,,Agobio,8
1113010206,,Poda de arboles de sombra,8
1113010207,,Poda de cortinas de rompevientos,8
1113010208,,Deshije,8
1113010209,,Aplicacion de insecticidas,8
1113010210,,Aplicacion de fungicidas,8
1113010211,,Aplicacion de herbicidas,8
1113010212,,Aplicacion de plaguicidas,8
1113010213,,Mantenimiento de calles,8
1113010214,,Conservacion de suelos,8
1113010215,,Peina blanca o chapoda,8
1113010216,,Peina negra,8
1113010217,,Placeado,8
1113010218,,Otros,8
11130103,,Costos indirectos de explotacion,8
1113010301,,Vigilancia,8
1113010302,,Supervision,8
1113010303,,Depreciacion,8
111301030301,,Maquinaria agricola,8
111301030302,,Edificios,8
111301030303,,Implementos agricolas,8
111301030304,,Utensilios de cocina,8
1113010304,,Agotamiento de cultivos permanentes,8
1113010305,,Intereses por credito de avio,8
1113010306,,Comisiones por credito de avio,8
1113010307,,Combustibles y lubricantes,8
111301030701,,Gasolina corriente,8
111301030702,,Gasolina especial,8
111301030703,,Diesel,8
111301030704,,Aceites,8
111301030705,,Grasas,8
111301030706,,Otros,8
1113010308,,Analisis quimico del suelo,8
1113010309,,Analisis foliar,8
1113010310,,Alimentacion basica,8
1113010311,,Mantenimiento de maquinaria agricola,8
1113010312,,Cocineras,8
1113010313,,Otros,8
111302,,Recoleccion,8
11130201,,Mano de obra directa,8
1113020101,,Corte de cafe,8
1113020102,,Pepena,8
1113020103,,Repela,8
1113020104,,Pesado de cafe,8
11130202,,Costos indirectos de explotacion,8
1113020201,,Alimentacion basica,8
1113020202,,Vigilancia,8
1113020203,,Supervision,8
1113020204,,Basculas,8
1113020205,,Canastos,8
1113020206,,Sacos,8
1113020207,,Depreciacion,8
111302020701,,Maquinaria agricola,8
111302020702,,Edificios,8
111302020703,,Implementos agricolas,8
111302020704,,Utensilios de cocina,8
1113020208,,Intereses por credito de avio,8
1113020209,,Agotamiento de cultivos permanentes,8
1203,,Activos biologicos,8
10301,,Cafetales en produccion,8
1204,-,Agotamiento de activos biologicos,8
120401,,Cafetales en produccion,8
1205,,Activos biologicos en desarrollo-cafe,8
120501,,Semillero,8
12050101,,Preparacion de eras,8
1205010101,,Insumos y Materiales,8
120501010101,,Fertilizantes Quimicos,8
120501010102,,Fertilizantes Organicos,8
120501010103,,Nematicidas,8
120501010104,,Arena,8
120501010105,,Otros,8
1205010102,,Mano de obra,8
