codigo,tipo,cuenta,tipo_catalogo
1,,ACTIVOS,4
11,,ACTIVOS DE INTERMEDIACIÓN,4
111,,FONDOS DISPONIBLES,4
1110,,FONDOS DISPONIBLES,4
111001,,CAJA,4
1110010101,,Oficina central - ML,4
1110010102,,Oficina central - ME,4
1110010201,,Agencias - ML,4
1110010202,,Agencias - ME,4
1110010301,,Fondos fijos - ML,4
1110010302,,Fondos fijos - ME,4
1110010401,,Remesas locales en tránsito - ML,4
1110010402,,Remesas locales en tránsito - ME,4
111002,,DEPÓSITOS EN EL BCR,4
1110020101,,Depósitos para encaje legal- ML,4
1110020102,,Depósitos para encaje legal - ME,4
1110020201,,Depósitos otros -ML,4
1110020202,,Depósitos otros -ME,4
1110029901,,Intereses y otros por cobrar - ML,4
1110029902,,Intereses y otros por cobrar - ME,4
111003,,DOCUMENTOS A CARGO DE OTROS BANCOS,4
1110030100,,Compensaciones pendientes,4
1110030200,,Rechazos por compensación,4
111004,,DEPÓSITOS EN BANCOS LOCALES,4
1110040101,,A la vista - ML,4
1110040102,,A la vista - ME,4
1110040201,,Depósitos de ahorro - ML,4
1110040202,,Depósitos de ahorro - ME,4
1110040301,,A plazo - ML,4
1110040302,,A plazo - ME,4
1110049901,,Intereses y otros por cobrar - ML,4
1110049902,,Intereses y otros por cobrar - ME,4
111006,,DEPOSITOS EN BANCOS EXTRANJEROS,4
1110060101,,A la vista - ML,4
1110060102,,A la vista - ME,4
1110060201,,A plazo - ML,4
1110060202,,A plazo - ME,4
1110060301,,Remesas en tránsito - ML,4
1110060302,,Remesas en tránsito - ME,4
1110069901,,Intereses y otros por cobrar - ML,4
1110069902,,Intereses y otros por cobrar - ME,4
112,,ADQUISICIÓN TEMPORAL DE DOCUMENTOS,4
1121,,DOCUMENTOS ADQUIRIDOS HASTA UN AÑO PLAZO,4
112101,,OPERACIONES DE REPORTO CON EL BANCO CENTRAL DE RESERVA,4
1121010101,,Emitidos por el Banco Central de Reserva - ML,4
1121010102,,Emitidos por el Banco Central de Reserva - ME,4
1121010201,,Emitidos por entidades del Estado - ML,4
1121010202,,Emitidos por entidades del Estado - ME,4
1121010301,,Emitidos por empresas privadas - ML,4
1121010302,,Emitidos por empresas privadas - ME,4
1121010501,,Emitidos por bancos - ML,4
1121010502,,Emitidos por bancos - ME,4
1121010601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1121010602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1121010701,,Emitidos por entidades del extranjero - ML,4
1121010702,,Emitidos por entidades del extranjero - ME,4
112102,,OPERACIONES DE REPORTO CON ENTIDADES DEL ESTADO,4
1121020101,,Emitidos por el Banco Central de Reserva - ML,4
1121020102,,Emitidos por el Banco Central de Reserva - ME,4
1121020201,,Emitidos por entidades del Estado - ML,4
1121020202,,Emitidos por entidades del Estado - ME,4
1121020301,,Emitidos por empresas privadas - ML,4
